epoch,epoch duration,loss,val_loss,accuracy,val_accuracy
0,0.0,0.01,0.01,0.0,0.0
1,7.922491550445557,0.0020340164857251303,0.0024922095677431893,74.4,73.9
2,8.126935005187988,0.0016146483165877207,0.0018967994872261496,78.87,79.04
3,7.975281000137329,0.0011436441647154944,0.0015427595114006715,85.42,84.19
4,8.02011227607727,0.001243444514416513,0.001471895067130818,84.23,86.03
5,8.123076438903809,0.0014083852015790484,0.0014817361884257372,83.04,86.03
6,8.13370156288147,0.0010724954661868868,0.0017876313889727874,88.69,80.15
7,8.064398050308228,0.001139890757345018,0.0014522890834247366,86.31,86.03
8,7.884409666061401,0.0011335804703689757,0.001119322855682934,84.23,87.87
9,8.080982446670532,0.000906853803566524,0.0009592663058463265,88.99,88.97
10,7.983476161956787,0.0010216663635912396,0.0015456665526418125,86.31,83.46
11,8.09058690071106,0.0011139016243673506,0.001164695028873051,86.9,88.6
12,8.078526258468628,0.0013666297530844098,0.0011262402814977309,85.42,88.6
13,7.955866575241089,0.0010333686534847533,0.0009595173246720258,87.8,88.97
14,8.226279735565186,0.0010262718867687952,0.0009403752491754644,87.2,88.24
15,8.124518156051636,0.0012626278968084427,0.001098224235808148,86.61,88.97
16,8.103913068771362,0.0009169288511787142,0.001007250345805112,89.58,89.71
17,7.951729774475098,0.0013304032562744049,0.0009308438748121262,83.63,89.34
18,7.776921987533569,0.0008704686271292823,0.001110944349099608,90.48,88.24
19,8.182648420333862,0.0011503774495351883,0.0010722398977069294,85.71,89.34
20,7.982921838760376,0.0008291442479406084,0.0007881807601627181,89.88,91.18
21,7.940112829208374,0.0008825114262955529,0.0008471041150829371,88.1,91.54
22,8.105968713760376,0.0009054518526508694,0.0008525177836418152,89.88,90.44
23,8.06385850906372,0.0009724499569052742,0.0008770734729135738,87.8,90.81
24,7.849876165390015,0.0009621108571688334,0.0008725449442863464,88.39,89.71
25,8.10550832748413,0.0010808412695214862,0.0008084163179292399,87.8,91.54
26,8.215698480606079,0.0008677995453278223,0.0008199842208448579,89.29,90.07
27,8.314228773117065,0.0006889054285628455,0.000718770274782882,92.56,93.01
28,8.04673957824707,0.0007027218650494303,0.0008851044318255256,92.26,89.71
29,7.976601839065552,0.0007549796608232317,0.0007940929602174198,91.07,90.07
30,8.074776411056519,0.0006371866468162764,0.0007913938230451415,92.26,91.91
31,7.981582403182983,0.0008415632127296357,0.001043522620902342,90.18,88.97
32,8.139200925827026,0.0008319809678054991,0.0008455755408195889,90.18,90.81
33,7.966998100280762,0.0009701685713870185,0.0009912257904515548,87.2,88.24
34,7.968826055526733,0.000742454037425064,0.0008010999573504223,90.18,91.54
35,7.969648122787476,0.0005847099902374404,0.0007498465368852896,91.67,91.18
36,8.057220220565796,0.0007414337513702256,0.000672501402304453,91.96,93.38
37,8.027488470077515,0.0007485995690027872,0.0008589840110610513,89.88,90.81
38,7.971170425415039,0.0007353414382253375,0.0006588155075031169,90.77,93.38
39,8.07983922958374,0.0008426857668729056,0.0006583974532344762,88.99,92.65
40,8.297426223754883,0.0006446870309965951,0.0006659911288058056,91.96,92.65
41,8.036800861358643,0.0007513609847852162,0.0007402374244788114,92.56,90.81
42,8.133559942245483,0.0006588879706604141,0.0007881584632046082,92.86,91.91
43,8.171281099319458,0.0007360793117965971,0.0007142988307511105,91.07,93.01
44,8.149773120880127,0.0008622211891980399,0.0005882618510547807,89.58,92.28
45,8.330432891845703,0.0006634333570088659,0.0008017090970979017,91.37,91.54
46,8.32132887840271,0.0008644828838961465,0.00060150125885711,88.99,93.38
47,8.117621421813965,0.0007918884179421834,0.0010439159677309148,91.07,88.6
48,8.342951536178589,0.0008558910340070724,0.0006277828532106736,90.18,93.75
49,8.319432497024536,0.0005212803592994099,0.0006708926795160069,92.56,91.18
50,8.241631746292114,0.0008634605578013829,0.0006085453993257354,87.8,93.75
51,8.267060041427612,0.0006850588002375194,0.000639730242683607,90.48,93.01
52,8.159820079803467,0.0004503094546851658,0.0005765454843640327,93.75,93.75
53,8.25907039642334,0.0009192821702786855,0.0007457609891014941,89.88,92.65
54,8.576785802841187,0.0007583053693884895,0.0007671302403597271,88.99,92.28
55,8.313529968261719,0.0006756364767040525,0.0007019366740303882,90.77,92.65
56,8.412903785705566,0.0004905939900449344,0.0005909538663485471,94.05,93.38
57,8.375485181808472,0.0005010048903170086,0.0006512343226110234,93.45,92.65
58,8.256398677825928,0.0004816600786788123,0.0005582280128317721,94.35,93.38
59,8.282573461532593,0.0005824438163212367,0.0006671464618514566,92.26,93.75
60,8.605035543441772,0.0006565421908384277,0.0006233018768184326,91.37,92.65
61,8.281142234802246,0.0006667805303420339,0.0006225799374720629,91.37,93.38
62,8.306370258331299,0.0005499790644361859,0.0006376475862720434,92.86,91.91
63,8.085458040237427,0.0006764193198510579,0.000648228287258569,91.37,94.12
64,8.260014057159424,0.000623756664849463,0.0006795005105874117,92.56,94.12
65,8.088438987731934,0.000511151294977892,0.0005918390062801979,93.75,94.49
66,8.288289785385132,0.0005833614794980912,0.0005657285013619592,93.15,94.49
67,8.256677150726318,0.0004815595845381419,0.0005318834720289006,93.15,92.65
68,8.187131881713867,0.0006011099155460085,0.0005218040965059225,92.86,94.49
69,8.118971109390259,0.0005894325052698454,0.0004978456041392158,92.56,95.22
70,8.11766791343689,0.0006119650566861743,0.000606164281420848,91.96,94.12
71,8.14289402961731,0.0005907093485196432,0.0005992006729630863,92.86,95.22
72,8.255212306976318,0.0006674307265451976,0.000590427395175485,89.88,94.12
73,8.21718144416809,0.0004981315827795438,0.00046912646468947916,94.64,95.22
74,8.04788088798523,0.0006200069827692849,0.0005371175048982396,92.56,94.49
75,8.281980037689209,0.00046560576274281456,0.0005118353292346001,93.45,94.49
76,8.236148118972778,0.0005878289895398277,0.0005165748846004991,92.26,94.85
77,8.026525497436523,0.0005790207180238905,0.0004813265712822185,94.35,94.12
78,8.198255777359009,0.0004759884128967921,0.0004943341893308303,93.15,94.85
79,8.201375484466553,0.0005666368774005345,0.0005076625658308758,94.64,94.85
80,8.107861995697021,0.0005224142223596573,0.0005160021212171106,92.26,95.22
81,8.25976824760437,0.0005543074969734464,0.00048286478747339807,92.56,95.22
82,7.534670114517212,0.0004985550241101356,0.0005670753033722148,92.26,94.12
83,7.554434061050415,0.0007397130220418884,0.00048535273355596205,89.88,94.49
84,7.518082618713379,0.0005616661870763416,0.0005675472647828214,91.96,94.85
85,7.389641284942627,0.000698498051081385,0.00045198985539815007,91.37,95.59
86,7.322477579116821,0.0004968744746985889,0.0005274504861410926,93.15,95.22
87,7.734466552734375,0.0005327438314755758,0.0005150928216822007,93.75,94.85
88,7.411217451095581,0.0005468991806819325,0.0005212159936918932,92.26,94.85
89,7.54047155380249,0.00038160911450783413,0.0005152323009336696,94.35,94.49
90,7.651831865310669,0.0004050869583373978,0.0005155963384929826,94.05,94.49
91,7.498857498168945,0.0006811287076700301,0.0005580630043850225,91.96,94.12
92,7.751723289489746,0.0006958272396808578,0.0005663465708494186,89.88,94.85
93,7.8846235275268555,0.0003459427860521135,0.0005343340008574374,95.24,94.85
94,7.740365743637085,0.00042703384090037576,0.0006051871596890338,96.13,94.49
95,7.527030944824219,0.0003708271265384697,0.0005580341881688903,96.43,95.96
96,7.563015937805176,0.0003800263096179281,0.0005843930822961471,94.35,94.49
97,7.589934825897217,0.0005332882116947855,0.000516277683131835,93.15,95.96
98,7.642579793930054,0.00047731479363782067,0.0005833526854129398,94.64,94.12
99,7.656995058059692,0.0006572754964942024,0.0006143795326352119,91.96,94.12
100,7.7014195919036865,0.0005416882091334888,0.0005976563757833312,92.86,93.75
