epoch,epoch duration,loss,val_loss,accuracy,val_accuracy
0,0.0,0.01,0.01,0.0,0.0
1,11.663032531738281,0.0019815067450205484,0.0025597017477540407,74.4,73.53
2,11.673435926437378,0.002223705429406393,0.0027276869205867544,71.73,74.63
3,11.7996084690094,0.0016275383532047272,0.001879095154650071,77.08,80.51
4,11.703428268432617,0.0017577434579531352,0.0015460668022141738,75.6,82.72
5,11.875281810760498,0.00131748253036113,0.0017197128823574852,83.33,80.51
6,11.692707538604736,0.0011630607325406302,0.0018852276398855098,85.12,82.72
7,11.79825496673584,0.001337348705246335,0.00206327109652407,84.23,80.51
8,11.687629461288452,0.0015383334386916388,0.0016381276004454669,81.55,82.72
9,11.64095401763916,0.0012248496391943523,0.0015643667429685593,84.82,82.72
10,11.667436838150024,0.0011642670170182274,0.001308793092475218,84.23,87.5
11,11.785063982009888,0.0011503373583157857,0.002054938498665305,86.9,83.09
12,11.674833297729492,0.0013049100303933734,0.0019596374648458816,84.82,83.09
13,11.71931529045105,0.0012989451310464314,0.0015295242123744067,84.52,84.56
14,11.664533615112305,0.0011096378522259848,0.0015138992491890403,87.5,83.09
15,11.523600578308105,0.0010800473392009735,0.001409456572111915,86.01,85.66
16,11.606084823608398,0.0012060734665109997,0.0017342002076261183,84.23,81.25
17,11.827017545700073,0.001096769901258605,0.001211215029744541,88.39,87.5
18,11.741923570632935,0.0011136021819852647,0.0014557308133910684,86.01,84.56
19,11.714357852935791,0.0013536023242133005,0.0012824732591124142,83.63,87.87
20,11.465894937515259,0.001269560307264328,0.001771516221411088,85.71,81.62
21,11.741921186447144,0.0014975429290816898,0.0012643624316243565,80.06,87.13
22,11.597058057785034,0.0009369303782780966,0.0011510038200546714,87.2,87.13
23,11.873262405395508,0.0008657306787513551,0.0012721294427619262,88.99,86.4
24,11.776424884796143,0.0009660232102587109,0.001129813601865488,86.61,91.18
25,11.650855541229248,0.0011219759249971027,0.0012528975220287546,87.2,86.76
26,11.908175230026245,0.001126155612014589,0.001369653269648552,87.8,85.66
27,11.677858114242554,0.0009941977581807546,0.0014723279677769717,87.5,84.93
28,11.875534534454346,0.0010707036902507145,0.0010514368905740626,86.9,90.07
29,11.680503368377686,0.000922793611174538,0.0013591415960999096,88.39,85.29
30,11.757014751434326,0.0009048980261598315,0.0015992170528453939,87.8,84.56
31,11.792692184448242,0.0014420107361816225,0.0013011306086007286,81.85,87.5
32,11.730357646942139,0.0009542957303069887,0.0013661707806236604,88.69,86.03
33,11.9927978515625,0.0009418936180216926,0.0012922383406583,88.99,86.03
34,11.37383508682251,0.0011649107826607569,0.0011415206553304896,86.01,87.13
35,11.8388831615448,0.0008824831318287622,0.0010382927515927482,88.99,88.97
36,11.708019971847534,0.0011219163203523273,0.0011539088890833013,84.52,85.66
37,11.570094108581543,0.0010260272593725296,0.001388114712694112,86.9,85.66
38,11.799119710922241,0.0011530974436373938,0.0012277719729086932,86.01,87.87
39,10.207951307296753,0.0010682323149272374,0.0013211048482095495,86.9,84.19
40,10.43434453010559,0.0009881314777192615,0.0014737308682764277,87.2,87.87
41,10.247792959213257,0.0009713847899720783,0.0011597687707227819,89.29,88.24
42,10.593903541564941,0.0009398691888366427,0.0010391336810939452,89.58,88.97
43,10.46672534942627,0.0011010993094671341,0.0009968871360315995,86.01,89.34
44,10.188924074172974,0.0009959714398497627,0.0009627933887874379,88.1,88.6
45,10.144211530685425,0.0011095877382017317,0.0012532373999848084,85.71,86.03
46,10.369702577590942,0.0010691351656402861,0.0011246583479292253,86.01,88.24
47,10.435609102249146,0.0008606140812238058,0.0010810683974448372,89.58,85.66
48,10.377435445785522,0.0009531465669473013,0.0012481674990233254,89.29,86.4
49,10.394521713256836,0.0010091516943204972,0.0012479147271198384,88.99,87.13
50,10.234920024871826,0.0008310464521249136,0.0009065039236755932,89.29,90.44
51,10.39978551864624,0.0010081594366402854,0.0009626556626137565,89.58,89.71
52,10.395116806030273,0.0008870242607025873,0.0009076603523948614,88.39,90.81
53,10.368288040161133,0.0009243766821566082,0.0009379848180448308,88.99,88.97
54,10.446069240570068,0.001013091720995449,0.0010410080499508802,88.1,88.97
55,10.427553415298462,0.0010193667951084319,0.0010302468915196026,88.1,89.34
56,10.499838829040527,0.0011055528940189453,0.0012377579422558054,86.61,89.34
57,10.34479308128357,0.0007464677272807984,0.0009998582741793465,89.88,87.13
58,10.357733249664307,0.001065660711555254,0.0011889028417713503,88.39,88.24
59,9.4270601272583,0.000832422680798031,0.0009004010764114997,88.1,88.24
60,11.82303786277771,0.0009046630667788642,0.0011107063687899534,89.29,87.87
61,11.707886934280396,0.0009231342978420711,0.0011083753231693717,88.39,88.97
62,11.894191265106201,0.0009205583482980728,0.0009751462322824142,88.39,89.34
63,11.503308057785034,0.0007351480779193697,0.000973607029984979,91.07,88.24
64,11.433883428573608,0.0008324036108595985,0.0009898615672307856,90.77,89.34
65,11.699519157409668,0.0009754029590459097,0.0008703801123534932,87.5,90.44
66,12.035648822784424,0.0008333189679043633,0.0010196550146621816,89.58,88.24
67,11.934816837310791,0.0010183276165099371,0.0010723178001011118,86.61,87.87
68,11.541696786880493,0.0008605422363394783,0.0010770234991522396,89.58,88.24
69,11.248799324035645,0.0007616968914156868,0.0009347630993408315,91.07,89.34
70,11.72667121887207,0.0008873570533025832,0.000990705455050749,89.58,88.97
71,11.631862163543701,0.000860727968670073,0.0010254126699531779,89.58,88.6
72,11.709164381027222,0.0008632467970961617,0.0010359079083975624,88.39,90.81
73,11.550683736801147,0.0007785832775490624,0.0008535580709576607,89.88,91.91
74,11.704520463943481,0.0006934505044704391,0.000840768711093594,91.96,91.54
75,11.686030149459839,0.000886980000705946,0.0008452819550738615,87.2,90.07
76,11.581367254257202,0.0006608694259609495,0.0007981215329731212,91.07,92.65
77,11.697511196136475,0.0007780984576259341,0.0008727867046699804,91.07,90.07
78,11.865326166152954,0.0007689189875409717,0.0007708298918955467,91.67,91.91
79,11.603200912475586,0.0007810724810475395,0.0008093155920505524,91.07,91.18
80,12.087029218673706,0.0007765607110091618,0.000840853461447884,89.88,91.91
81,11.635597705841064,0.0008468994249900182,0.0008838692241731812,89.88,90.81
82,11.680296421051025,0.0005617235299377214,0.0008430849103366627,94.35,91.18
83,11.277754783630371,0.0008078072929666156,0.0009267767343450995,89.88,88.97
84,11.798298597335815,0.0009871542098976317,0.000813098788699683,88.69,91.54
85,11.663028001785278,0.0006841800752140227,0.0009056888520717621,92.26,90.44
86,11.815120935440063,0.0007041354796716145,0.0010556030799360836,93.75,89.71
87,11.842620372772217,0.0005975423735522089,0.0008505485294496312,92.86,91.18
88,11.314136743545532,0.0005566914610209919,0.000972605255596778,94.35,90.44
89,11.715423583984375,0.0005648118842925344,0.0008873069001471295,91.96,88.6
90,11.976069927215576,0.0009133263180653254,0.0008030590765616473,87.5,92.65
91,11.693201303482056,0.0007484247464509238,0.0009374679887996,90.18,89.34
